Category,Rating
Abstract Strategy,1
Action / Dexterity,1
Adventure,3
Age of Reason,2
American Civil War,2
American Indian Wars,2
American Revolutionary War,2
American West,2
Ancient,2
Animals,1
Arabian,2
Aviation / Flight,1
Bluffing,2
Book,2
Card Game,3
Children's Game,0
City Building,0
Civil War,2
Civilization,1
Collectible Components,1
Comic Book / Strip,2
Deduction,3
Dice,2
Economic,1
Educational,0
Electronic,1
Environmental,1
Expansion for Base-game,0
Exploration,3
Fan Expansion,0
Fantasy,3
Farming,0
Fighting,2
Game System,2
Horror,2
Humor,2
Industry / Manufacturing,1
Korean War,2
Mafia,2
Math,1
Mature / Adult,2
Maze,2
Medical,1
Medieval,2
Memory,1
Miniatures,2
Modern Warfare,2
Movies / TV / Radio theme,2
Murder/Mystery,3
Music,2
Mythology,3
Napoleonic,2
Nautical,2
Negotiation,0
Novel-based,2
Number,1
Party Game,2
Pike and Shot,1
Pirates,2
Political,0
Post-Napoleonic,2
Prehistoric,2
Print & Play,0
Puzzle,2
Racing,1
Real-time,2
Religious,0
Renaissance,2
Science Fiction,2
Space Exploration,2
Spies/Secret Agents,3
Sports,1
Territory Building,1
Trains,1
Transportation,1
Travel,2
Trivia,1
Video Game Theme,2
Vietnam War,2
Wargame,2
Word Game,2
World War I,2
World War II,2
Zombies,2
