Mechanic,Rating
Acting,2
Action Drafting,1
Action Points,2
Action Queue,2
Action Retrieval,2
Action Timer,1
Action/Event,2
Advantage Token,0
Alliances,2
Area Majority / Influence,2
Area Movement,2
Area-Impulse,2
Auction Compensation,0
Auction: Dexterity,0
Auction: Dutch,0
Auction: Dutch Priority,0
Auction: English,0
Auction: Fixed Placement,0
Auction: Multiple Lot,0
Auction: Once Around,0
Auction: Sealed Bid,0
Auction: Turn Order Until Pass,0
Auction/Bidding,0
Automatic Resource Growth,2
Betting and Bluffing,0
Bias,2
Bids As Wagers,0
Bingo,0
Bribery,0
Campaign / Battle Card Driven,2
Card Play Conflict Resolution,2
Catch the Leader,2
Chaining,2
Chit-Pull System,2
Closed Drafting,1
Closed Economy Auction,0
Command Cards,2
Commodity Speculation,1
Communication Limits,3
Connections,2
Constrained Bidding,0
Contracts,0
Cooperative Game,3
Co-operative Play,3
Co-Operative Play,3
Crayon Rail System,2
Critical Hits and Failures,1
Cube Tower,1
Deck Construction,3
"Deck, Bag, and Pool Building",2
Deduction,3
Delayed Purchase,1
Dice Rolling,2
Die Icon Resolution,2
Different Dice Movement,2
Drawing,1
Elapsed Real Time Ending,2
Enclosure,2
End Game Bonuses,1
Events,2
Finale Ending,2
Flicking,0
Follow,1
Force Commitment,1
Grid Coverage,2
Grid Movement,2
Hand Management,3
Hexagon Grid,2
Hidden Movement,3
Hidden Roles,3
Hidden Victory Points,3
Highest-Lowest Scoring,1
Hot Potato,0
"I Cut, You Choose",2
Impulse Movement,2
Income,1
Increase Value of Unchosen Resources,0
Induction,1
Interrupts,1
Investment,1
Kill Steal,0
King of the Hill,2
Ladder Climbing,2
Layering,2
Legacy Game,1
Line Drawing,1
Line of Sight,1
Loans,0
Lose a Turn,0
Mancala,2
Map Addition,2
Map Deformation,2
Map Reduction,2
Market,0
Matching,2
Measurement Movement,2
Melding and Splaying,2
Memory,1
Minimap Resolution,2
Modular Board,3
Move Through Deck,2
Movement Points,2
Movement Template,2
Moving Multiple Units,2
Multi-Use Cards,2
Multiple Maps,2
Narrative Choice / Paragraph,2
Negotiation,0
Neighbor Scope,1
Network and Route Building,1
Once-Per-Game Abilities,1
Open Drafting,1
Order Counters,1
Ordering,2
Ownership,1
Partnerships,1
Paper-And-Pencil,-1
Paper-and-Pencil,0
Passed Action Token,1
Pattern Building,2
Pattern Movement,2
Pattern Recognition,2
Physical Removal,1
Pick-up and Deliver,2
Pieces as Map,2
Player Elimination,0
Player Judge,0
Point to Point Movement,2
Predictive Bid,0
Prisoner's Dilemma,3
Programmed Movement,1
Push Your Luck,1
Questions and Answers,2
Race,1
Random Production,2
Ratio / Combat Results Table,2
Re-rolling and Locking,2
Real-Time,2
Relative Movement,2
Resource Queue,1
Resource to Move,1
Rock-Paper-Scissors,1
Role Playing,3
Roles with Asymmetric Information,3
Roll / Spin and Move,2
Rondel,2
Scenario / Mission / Campaign Game,2
Score-and-Reset Game,1
Secret Unit Deployment,3
Selection Order Bid,0
Semi-Cooperative Game,2
Set Collection,2
Simulation,2
Simultaneous Action Selection,2
Singing,0
Single Loser Game,1
Slide/Push,1
Solo / Solitaire Game,2
Speed Matching,1
Square Grid,2
Stacking and Balancing,1
Stat Check Resolution,2
Static Capture,2
Stock Holding,0
Storytelling,3
Sudden Death Ending,2
Tags,2
Take That,1
Targeted Clues,2
Team-Based Game,3
Tech Trees / Tech Tracks,2
Three Dimensional Movement,1
Tile Placement,2
Track Movement,2
Trading,1
Traitor Game,2
Trick-taking,2
Tug of War,1
Turn Order: Auction,0
Turn Order: Claim Action,2
Turn Order: Pass Order,2
Turn Order: Progressive,2
Turn Order: Random,2
Turn Order: Role Order,2
Turn Order: Stat-Based,2
Turn Order: Time Track,2
Variable Phase Order,2
Variable Player Powers,3
Variable Set-up,2
Victory Points as a Resource,0
Voting,0
Worker Placement,2
Worker Placement with Dice Workers,2
"Worker Placement, Different Worker Types",2
Zone of Control,2
